"officer_id","n_stops"
"A003",1
"A004",5
"A005",4
"A006",3
"A007",128
"A008",9
"A009",83
"A011",5
"A012",1
"A013",1
"A014",1
"A015",29
"A016",2
"A019",67
"A020",3
"A023",3
"A024",4
"A025",1
"A026",32
"A027",42
"A029",1
"A030",1
"A031",42
"A032",119
"A033",50
"A034",23
"A035",28
"A041",9
"A045",1
"A046",2
"A128",6
"B000",4
"B001",2
"B002",3
"B005",76
"B006",2
"B007",1
"B008",3
"B009",3
"B010",41
"B011",1
"B012",3
"B013",7
"B014",18
"B015",196
"B016",3
"B018",2
"B022",30
"B024",1
"B025",11
"B026",345
"B028",56
"B032",89
"B033",52
"B036",38
"B037",1
"B038",10
"B039",4
"B041",1
"B043",20
"B045",80
"B046",4
"B047",18
"B048",1
"B049",70
"B051",2
"B052",1
"B053",2
"B055",34
"B058",3
"B064",41
"B067",119
"B071",1
"B072",46
"B074",3
"B075",1
"B079",4
"B081",128
"B082",2
"B083",1
"B084",27
"B087",1
"B101",107
"B102",11
"B103",62
"B112",50
"B113",99
"B114",11
"B115",36
"B116",240
"B118",94
"B119",46
"B121",2
"B122",6
"B123",320
"B124",3
"B125",81
"B126",87
"B127",154
"B129",9
"B131",11
"B132",36
"B152",1
"B190",3
"B370",1
"B530",1
"C000",326
"C001",137
"C002",276
"C003",16
"C004",193
"C005",140
"C006",98
"C007",78
"C008",1257
"C009",1198
"C010",976
"C011",1097
"C012",84
"C013",795
"C014",177
"C015",712
"C016",346
"C017",135
"C018",639
"C019",207
"C020",195
"C021",229
"C022",1003
"C023",279
"C024",72
"C025",355
"C026",6
"C027",60
"C028",641
"C029",328
"C030",78
"C031",625
"C032",370
"C033",980
"C034",35
"C035",498
"C036",822
"C037",261
"C038",317
"C039",10
"C041",317
"C042",177
"C044",1074
"C045",167
"C047",348
"C048",2
"C050",936
"C051",523
"C052",22
"C053",1
"C054",1045
"C055",2940
"C056",536
"C057",11
"C058",226
"C059",50
"C060",74
"C061",68
"C062",609
"C063",72
"C064",471
"C067",35
"C070",378
"C080",3
"C090",1
"C121",1
"C130",1
"C250",1
"C320",1
"C380",1
"C500",2
"C560",1
"C620",1
"C700",1
"C800",1
"C900",2
"D000",106
"D001",33
"D002",451
"D003",259
"D004",479
"D005",447
"D006",247
"D007",20
"D008",144
"D009",2
"D010",1248
"D011",1054
"D012",615
"D013",354
"D014",1123
"D015",1049
"D016",1137
"D017",987
"D018",1275
"D019",1271
"D020",459
"D021",544
"D022",973
"D023",1311
"D024",610
"D025",1919
"D026",504
"D027",23
"D028",1937
"D029",414
"D030",934
"D031",412
"D032",649
"D033",302
"D034",137
"D036",1171
"D038",11
"D039",1304
"D041",1
"D042",140
"D044",1
"D045",1
"D046",227
"D047",3
"D048",33
"D049",1387
"D052",1473
"D054",3
"D055",1
"D110",1
"D140",1
"D210",1
"D345",1
"D362",1
"D553",1
"E000",10
"E001",47
"E002",493
"E003",46
"E004",22
"E005",139
"E006",32
"E007",81
"E008",83
"E009",38
"E010",21
"E011",19
"E012",210
"E013",323
"E014",1
"E015",135
"E016",613
"E017",256
"E018",472
"E019",116
"E020",102
"E021",218
"E022",98
"E023",1101
"E024",281
"E025",421
"E026",59
"E027",265
"E028",962
"E029",333
"E030",297
"E031",300
"E032",41
"E033",24
"E034",37
"E035",225
"E036",239
"E037",75
"E038",1
"E039",92
"E040",88
"E041",296
"E042",4
"E043",225
"E044",8
"E045",115
"E046",460
"E047",11
"E049",733
"E050",5
"E055",207
"E061",1
"E063",1
"E116",1
"E123",2
"E180",1
"E190",2
"E200",4
"E350",1
"E550",1
"E999",1
"F000",107
"F001",474
"F002",122
"F003",369
"F004",496
"F005",287
"F006",22
"F007",8
"F008",96
"F009",10
"F011",354
"F012",138
"F013",642
"F014",309
"F015",415
"F016",832
"F017",262
"F018",523
"F019",639
"F020",172
"F021",630
"F022",119
"F023",627
"F024",371
"F025",50
"F026",184
"F027",1111
"F028",576
"F029",495
"F030",347
"F031",522
"F032",136
"F033",660
"F034",151
"F035",1527
"F036",380
"F037",923
"F038",339
"F039",1084
"F040",914
"F043",181
"F045",288
"F048",212
"F050",473
"F053",510
"F055",34
"F057",1
"F100",4
"F113",3
"F250",1
"G000",283
"G001",197
"G002",230
"G003",214
"G004",467
"G005",176
"G006",40
"G007",24
"G008",6
"G009",535
"G010",474
"G011",954
"G013",283
"G014",511
"G015",1092
"G016",864
"G017",1016
"G018",727
"G019",694
"G020",408
"G021",1337
"G022",710
"G023",602
"G024",361
"G025",328
"G026",1250
"G027",172
"G028",693
"G029",1
"G030",379
"G031",422
"G032",274
"G033",391
"G034",1414
"G035",1247
"G036",748
"G037",1231
"G038",988
"G039",2
"G040",1910
"G042",804
"G043",1
"G044",14
"G045",299
"G046",32
"G047",450
"G048",25
"G050",452
"G051",478
"G052",1
"G054",1
"G055",379
"G057",1072
"G170",3
"G250",1
"G358",1
"G501",1
"G808",1
"H000",227
"H001",1657
"H002",544
"H003",190
"H004",146
"H005",69
"H006",107
"H007",18
"H008",6
"H009",604
"H010",209
"H011",161
"H012",650
"H013",239
"H014",703
"H015",834
"H016",818
"H017",275
"H018",546
"H019",861
"H020",499
"H021",2
"H022",751
"H023",554
"H024",391
"H025",1
"H026",1
"H027",1
"H028",1250
"H029",6
"H030",1172
"H031",15
"H032",234
"H033",45
"H034",858
"H035",424
"H036",1146
"H037",51
"H038",2036
"H039",214
"H040",252
"H041",10
"H043",854
"H044",1720
"H045",690
"H046",804
"H047",554
"H048",1
"H049",8
"H050",42
"H051",1
"H052",9
"H053",1
"H054",16
"H057",1
"H064",1
"H068",1
"H070",1
"H075",1
"H089",1
"H099",7
"H156",1
"H213",1
"H233",1
"H258",1
"H262",1
"I008",7
"I010",1
"I011",1
"I014",14
"I015",2
"I017",2
"I022",1
"I032",1
"I033",1
"I059",1
"J000",68
"J001",70
"J002",85
"J003",270
"J004",235
"J005",308
"J006",1
"J007",103
"J008",100
"J009",314
"J010",980
"J011",425
"J012",385
"J013",780
"J014",1277
"J015",596
"J016",265
"J017",163
"J018",294
"J019",213
"J020",230
"J021",1042
"J022",1
"J023",68
"J024",1
"J025",761
"J026",1
"J027",527
"J029",452
"J031",190
"J033",1
"J034",1023
"J035",200
"J036",1371
"J038",998
"J042",498
"J043",3
"J045",428
"J046",1442
"J048",1
"J050",2
"J051",624
"J053",238
"J055",324
"J060",648
"K000",6
"K001",189
"K002",227
"K003",208
"K004",12
"K005",112
"K006",35
"K007",9
"K008",169
"K010",423
"K011",120
"K012",525
"K014",1169
"K015",717
"K016",1082
"K017",824
"K018",150
"K019",678
"K020",457
"K021",501
"K022",522
"K023",340
"K024",443
"K025",795
"K026",428
"K027",95
"K028",1409
"K029",1008
"K030",460
"K031",691
"K032",236
"K035",677
"K036",393
"K037",286
"K038",2
"K039",90
"K040",927
"K041",370
"K042",625
"K043",633
"K044",917
"K045",374
"K046",492
"K047",1435
"K048",1082
"K049",155
"K050",663
"K052",154
"K053",28
"K054",17
"K055",3
"K057",546
"K059",1
"K060",20
"K061",11
"K062",1
"K063",5
"K064",8
"K065",9
"K066",4
"K067",29
"K068",3
"K069",18
"K071",1
"K072",28
"K073",7
"K074",14
"K075",8
"K076",16
"K077",15
"K078",2
"K079",16
"K080",14
"K081",6
"K082",10
"K083",4
"K084",21
"K086",4
"K087",3
"K088",8
"K089",4
"K091",13
"K092",17
"K093",19
"K094",25
"K096",10
"K099",2
"K109",2
"K118",2
"K126",1
"K147",1
"K358",1
"K385",7
"K386",2
"K451",1
"K507",3
"K901",2
"K985",1
"M000",96
"M001",3
"M002",230
"M003",1852
"M004",479
"M005",180
"M006",51
"M008",89
"M009",1537
"M010",703
"M012",3
"M013",191
"M014",532
"M015",506
"M016",592
"M017",258
"M018",641
"M019",453
"M020",958
"M022",133
"M023",851
"M024",505
"M025",1030
"M026",634
"M028",350
"M029",529
"M030",630
"M031",1602
"M032",401
"M033",303
"M034",145
"M035",1
"M036",105
"M037",169
"M038",2
"M039",1
"M040",1
"M041",359
"M042",175
"M045",808
"M046",1080
"M048",291
"M049",332
"M114",1
"M125",1
"M138",2
"M300",1
"M341",1
"M356",1
"M465",1
"N000",3
"N001",2
"N003",2
"N004",1
"N005",2
"N006",4
"N007",3
"N008",1
"N009",6
"N010",7
"N011",2
"N013",1
"N014",6
"N015",4
"N016",4
"N018",5
"N019",1
"N020",2
"N024",1
"N025",1
"N030",2
"N031",5
"N037",3
"N045",1
"N047",3
"N049",4
"R000",2
"R001",5
"R003",83
"R004",5
"R005",83
"R006",4
"R007",5
"R008",34
"R009",14
"R010",2
"R011",6
"R012",46
"R013",20
"R014",56
"R015",57
"R016",14
"R017",264
"R018",26
"R019",445
"R020",11
"R021",490
"R022",24
"R023",50
"R024",14
"R025",131
"R026",6
"R027",175
"R028",20
"R029",2
"R030",57
"R031",39
"R032",73
"R033",5
"R034",109
"R035",51
"R036",2
"R037",314
"R038",50
"R039",76
"R041",22
"R042",109
"R043",111
"R044",2
"R047",2
"R050",1
"R051",2
"R054",3
"R056",50
"R058",3
"R061",1
"R073",1
"R085",2
"R086",2
"R090",2
"R113",1
"R550",1
"R700",1
"S000",2
"S002",1
"S003",4
"S004",16
"S005",21
"S006",40
"S007",69
"S008",180
"S009",19
"S010",25
"S011",25
"S012",166
"S013",62
"S014",73
"S015",71
"S016",118
"S017",100
"S018",156
"S019",45
"S020",135
"S021",177
"S022",27
"S023",11
"S024",8
"S025",11
"S026",59
"S027",122
"S028",51
"S029",24
"S030",4
"S031",38
"S032",6
"S033",8
"S034",12
"S035",3
"S036",2
"S037",23
"S038",10
"S040",7
"S041",1
"S043",2
"S044",2
"S045",1
"S047",1
"S049",20
"S050",3
"S051",2
"S055",1
"S056",4
"S057",1
"S059",12
"S063",5
"S064",2
"S065",2
"S072",40
"S075",5
"S078",2
"S084",1
"S090",1
"S094",1
"S501",4
"S502",1
"S569",1
"T002",1
"T003",1
"T004",6
"T005",4
"T006",7
"T007",1
"T008",1
"T009",1
"T011",2
"T013",3
"T015",2
"T016",2
"T017",1
"T019",1
"T022",3
"T023",1
"T032",1
"T037",1
"T058",2
"T061",1
"U001",9
"U005",3
"U011",14
"U021",3
"U022",46
"U023",1
"U024",1
"U025",62
"U026",340
"U027",40
"U028",221
"U029",14
"U030",2
"U033",313
"U034",320
"U035",80
"U038",23
"U039",317
"U041",10
"U042",76
"U043",46
"U044",86
"U045",54
"U048",34
"U049",178
"U052",17
"U053",10
"U054",16
"U055",121
"U056",52
"U057",24
"U058",7
"U059",69
"U061",390
"U063",31
"U064",55
"U066",160
"U067",42
"U068",132
"U071",205
"U079",19
"W001",1
"W002",11
"W003",37
"W005",21
"W006",4
"W007",33
"W009",4
"W010",17
"W013",4
"W015",9
"W016",4
"W017",1
"W033",1
"W300",1
NA,6
